Age,Annual_Income,Monthly_Expenses,Savings_Rate,Debt_to_Income_Ratio,Current_Investments_Value,Total_Loan_Amount,Avg_Credit_Score,Inflation_Rate,Interest_Rate,Years_of_Employment,Job_Stability_Score,Emergency_Fund_Value,Retirement_Fund_Contribution,Customer_Segment,Future_Balance
45.0,686081.81,17942.27,0.29,0.25,1807462.47,556913.97,651.0,6.69,6.65,9.4,0.39,67331.21,98811.48,Bronze,2227592.16
,796474.39,55385.2,0.12,0.55,2935502.53,563982.05,728.0,,8.25,17.8,0.5,298162.24,42078.16,Silver,3282530.21
46.0,708707.11,,0.29,0.38,1569022.45,479932.78,748.0,6.14,7.33,8.5,0.44,196371.67,93875.14,Silver,2005199.77
55.0,940641.4,55378.16,0.11,0.18,3154348.23,484769.37,686.0,6.04,5.7,11.8,0.35,108082.97,,Silver,3674791.61
38.0,1452826.39,74823.6,0.29,0.75,4180505.4,839038.16,593.0,5.48,7.91,5.9,0.37,180062.32,80520.7,Gold,4847001.7
38.0,661148.12,26399.33,0.14,0.4,1394305.91,843627.68,735.0,7.85,8.34,11.9,0.38,322311.14,86003.19,Bronze,1711609.11
56.0,1343082.95,39965.67,0.25,0.54,4476982.99,749641.4,638.0,6.61,5.3,11.0,0.39,731009.25,,Silver,5603039.21
48.0,658342.91,40166.47,,0.8,2391248.3,850691.76,670.0,7.86,10.22,11.0,0.19,224569.84,71513.72,Silver,2847726.57
35.0,,32118.8,0.32,0.44,1198309.19,913021.36,659.0,7.44,7.7,18.9,0.9,172131.55,,Gold,1472454.1
45.0,1248667.94,48330.54,0.25,0.08,2845398.02,662245.35,744.0,6.22,,5.2,0.12,84744.55,150084.74,Silver,3621589.47
35.0,1301365.42,59981.25,0.16,0.2,4574496.36,681637.21,660.0,6.36,9.43,5.7,0.39,129759.67,125313.47,Silver,5321927.45
35.0,1265166.15,55860.72,0.39,0.69,1290160.97,,625.0,5.44,7.21,0.0,0.06,222233.03,163324.05,Silver,1812620.25
